company,committer.login,num_org_commits,num_orgs,num_repos,num_committers,github_org
Amazon.com,phillipberndt,1,4,50,53,awslabs
Amazon.com,SalusaSecondus,1,4,50,53,awslabs
Amazon.com,jahkeup,5,4,50,53,aws
Amazon.com,btmash,1,4,50,53,awslabs
Amazon.com,richardpen,5,4,50,53,aws
Amazon.com,sstevenkang,19,4,50,53,aws
Amazon.com,sayalee,2,4,50,53,amzn
Amazon.com,sarah-johnson,4,4,50,53,awslabs
Amazon.com,rohkat-aws,19,4,50,53,aws
Amazon.com,fukajun,1,4,50,53,awslabs
Apple,swift-ci,25,1,12,44,apple
Apple,gottesmm,5,1,12,44,apple
Apple,chandlerc,10,1,12,44,apple
Apple,bcardosolopes,1,1,12,44,apple
Apple,jimingham,1,1,12,44,apple
Apple,tkremenek,7,1,12,44,apple
Apple,eeckstein,1,1,12,44,apple
Apple,speachy,1,1,12,44,apple
Apple,aciidb0mb3r,23,1,12,44,apple
Apple,topperc,1,1,12,44,apple
Baidu,flyhighzy,5,5,16,16,baidu-aip
Baidu,iMuduo,4,5,16,16,baidu-aip
Baidu,zhangtao07,1,5,16,16,fex-team
Baidu,loatheb,1,5,16,16,fex-team
Baidu,luyuan,29,5,16,16,baidu
Baidu,lvgreenTian,3,5,16,16,baidu
Baidu,Dafrok,2,5,16,16,baidu
Baidu,sharannarang,3,5,16,16,baidu-research
Baidu,jhunters,2,5,16,16,baidu
Baidu,dagamayank,1,5,16,16,baidu-research
Huawei,niuzhenguo,2,3,13,18,huaweicloud
Huawei,rambleraptor,16,3,13,18,huaweicloud
Huawei,modular-magician,2,3,13,18,huaweicloud
Huawei,zengchen1024,2,3,13,18,huaweicloud
Huawei,tmx1991,4,3,13,18,huaweicloud
Huawei,SuYai,2,3,13,18,liteos
Huawei,blueliuyun,3,3,13,18,liteos
Huawei,edisonxiang,7,3,13,18,huaweicloud
Huawei,youxiaobo,1,3,13,18,liteos
Huawei,freesky-edward,3,3,13,18,huaweicloud
IBM,dpopp07,2,7,24,12,watson-developer-cloud
IBM,jerry1100,3,7,24,12,ibmdatascience
IBM,lpatino10,5,7,24,12,watson-developer-cloud
IBM,abdonrd,9,7,24,12,ibmresearch
IBM,germanattanasio,12,7,24,12,watson-developer-cloud
IBM,anweshan,12,7,24,12,watson-developer-cloud
IBM,srl295,2,7,24,12,ibm-cloud
IBM,stevemart,6,7,24,12,ibm
IBM,jesusprubio,11,7,24,12,ibmresearch
IBM,emmajdaws,10,7,24,12,watson-developer-cloud
Intel,carsonwang,1,3,9,14,intel-bigdata
Intel,ColinIanKing,2,3,9,14,intel
Intel,xuguangxin,9,3,9,14,intel
Intel,xhaihao,16,3,9,14,intel
Intel,uartie,1,3,9,14,intel
Intel,ahkok,3,3,9,14,intel
Intel,gczsjdy,2,3,9,14,intel-bigdata
Intel,linhong-intel,4,3,9,14,intel-bigdata
Intel,spandruvada,5,3,9,14,intel
Intel,littlezhou,5,3,9,14,intel-bigdata
Microsoft,bergmeister,2,4,49,49,powershell
Microsoft,boumenot,7,4,49,49,azure
Microsoft,katmsft,7,4,49,49,azure
Microsoft,NTaylorMullen,12,4,49,49,aspnet
Microsoft,aspnetci,102,4,49,49,aspnet
Microsoft,vinjiang,1,4,49,49,azure
Microsoft,rajshah11,2,4,49,49,azure
Microsoft,weltling,13,4,49,49,microsoft
Microsoft,lmazuel,21,4,49,49,azure
Microsoft,sanbhatt,5,4,49,49,azure
Oracle,mjwallin1,1,1,6,10,oracle
Oracle,Djelibeybi,5,1,6,10,oracle
Oracle,malibuworkcrew,2,1,6,10,oracle
Oracle,rosemarymarano,11,1,6,10,oracle
Oracle,Orviss,1,1,6,10,oracle
Oracle,cjbj,22,1,6,10,oracle
Oracle,doxiao,7,1,6,10,oracle
Oracle,vladak,15,1,6,10,oracle
Oracle,idodeclare,1,1,6,10,oracle
Oracle,gvenzl,1,1,6,10,oracle
Pivotal,pspinrad,2,1,13,34,pivotal-cf
Pivotal,Pivotal-Christopher-Wong,2,1,13,34,pivotal-cf
Pivotal,parth-pandit,1,1,13,34,pivotal-cf
Pivotal,mlimonczenko,14,1,13,34,pivotal-cf
Pivotal,snneji,9,1,13,34,pivotal-cf
Pivotal,animatedmax,10,1,13,34,pivotal-cf
Pivotal,StevenLocke,5,1,13,34,pivotal-cf
Pivotal,jberney,2,1,13,34,pivotal-cf
Pivotal,flangewad,9,1,13,34,pivotal-cf
Pivotal,terminatingcode,1,1,13,34,pivotal-cf
Redhat,sherl0cks,1,2,15,17,rht-labs
Redhat,oybed,2,2,15,17,rht-labs
Redhat,l0rd,2,2,15,17,redhat-developer
Redhat,xsuchy,2,2,15,17,redhat-developer
Redhat,rhopp,14,2,15,17,redhat-developer
Redhat,gorkem,1,2,15,17,redhat-developer
Redhat,ibuziuk,16,2,15,17,redhat-developer
Redhat,LightGuard,20,2,15,17,redhat-developer
Redhat,fche,1,2,15,17,redhat-developer
Redhat,pmkovar,1,2,15,17,redhat-developer
Cisco,gilesheron,3,2,7,7,ciscodevnet
Cisco,linuxwolf,2,2,7,7,cisco
Cisco,mikewiebe,4,2,7,7,cisco
Cisco,mstorsjo,2,2,7,7,cisco
Cisco,pabuhler,3,2,7,7,cisco
Cisco,sijchen,1,2,7,7,cisco
Cisco,strfry,1,2,7,7,cisco
Facebook,acdlite,4,1,15,9,facebook
Facebook,facebook-github-bot,171,1,15,9,facebook
Facebook,flarnie,1,1,15,9,facebook
Facebook,gaearon,4,1,15,9,facebook
Facebook,gfosco,1,1,15,9,facebook
Facebook,hhvm-bot,30,1,15,9,facebook
Facebook,jingping2015,2,1,15,9,facebook
Facebook,nlutsenko,1,1,15,9,facebook
Facebook,PaulTaykalo,1,1,15,9,facebook
Google,artygus,1,3,8,9,google
Google,bshaffer,4,3,8,9,googlecloudplatform
Google,fhinkel,2,3,8,9,googlecloudplatform
Google,googleapis-publisher,26,3,8,9,google
Google,houglum,7,3,8,9,googlecloudplatform
Google,mfschwartz,1,3,8,9,googlecloudplatform
Google,nlativy,1,3,8,9,googlesamples
Google,ronshapiro,43,3,8,9,google
Google,ryanmats,1,3,8,9,googlecloudplatform
NVIDIA,aaronp24,5,3,13,9,nvidia
NVIDIA,chrschorn,1,3,13,9,nvlabs
NVIDIA,kyaoNV,22,3,13,9,nvidiagameworks
NVIDIA,larsbishop,1,3,13,9,nvidiagameworks
NVIDIA,mingyuliutw,4,3,13,9,nvlabs
NVIDIA,nbenty,8,3,13,9,nvidiagameworks
NVIDIA,pixar-oss,25,3,13,9,nvidiagameworks
NVIDIA,tmbdev,11,3,13,9,nvlabs
NVIDIA,xunhuang1995,2,3,13,9,nvlabs
Samsung,gombos,30,1,3,5,samsung
Samsung,liaxim,18,1,3,5,samsung
Samsung,NolaDonato,1,1,3,5,samsung
Samsung,yichoi,27,1,3,5,samsung
Samsung,zherczeg,2,1,3,5,samsung
